Description,Date,Credit,Debit
701-8887161-1070626,01/04/2021,7.99,
701-8887161-1070626,01/04/2021,15.99,
701-1075411-8593866,01/04/2021,9.99,
701-2438288-7772265,31/03/2021,8.99,
702-6994740-0253867,31/03/2021,8.99,
702-9285525-3783456,31/03/2021,7.99,
701-8433469-9945804,30/03/2021,17.99,
701-8052733-7805044,30/03/2021,28.48,
701-4728934-9549006,30/03/2021,15.99,
701-8993687-4609824,30/03/2021,7.99,
702-7940397-3460213,30/03/2021,8.99,
702-0206998-7041827,29/03/2021,7.99,
701-6884523-2477815,29/03/2021,8.99,
701-6884523-2477815,29/03/2021,8.99,
701-6884523-2477815,29/03/2021,8.99,
701-7013955-9846629,29/03/2021,12.99,
702-2562742-4005803,29/03/2021,8.99,
702-3928047-7644261,28/03/2021,15.99,
701-0273553-5286663,28/03/2021,8.99,
701-3944070-3841844,27/03/2021,18.48,
702-8723691-5497019,27/03/2021,7.99,
702-8723691-5497019,27/03/2021,7.99,
702-3419954-4310626,27/03/2021,7.99,
702-3419954-4310626,27/03/2021,7.99,
701-4885673-1189048,27/03/2021,8.99,
702-5056661-8617048,27/03/2021,7.99,
702-5056661-8617048,27/03/2021,7.99,
702-4949005-9203431,26/03/2021,7.99,
702-3992543-3072259,26/03/2021,17.99,
701-0111949-6758611,25/03/2021,15.99,
702-0637129-7610607,25/03/2021,7.99,
701-7391297-4482631,22/03/2021,9.99,
702-7766859-9786641,22/03/2021,8.99,
701-8447892-5526662,21/03/2021,26.97,
702-3730990-3070653,21/03/2021,7.99,
701-0489395-6079451,19/03/2021,15.99,
701-6132038-1937037,18/03/2021,8.99,
701-4078071-8367440,18/03/2021,8.99,
702-8785201-6281020,17/03/2021,7.99,
702-8785201-6281020,17/03/2021,7.99,
702-5263583-2930658,16/03/2021,7.99,
702-2777105-7438619,15/03/2021,8.99,
702-4721860-5538601,14/03/2021,8.99,
701-4149599-0256202,12/03/2021,8.99,
701-4149599-0256202,12/03/2021,8.99,
702-8948893-9538639,12/03/2021,8.99,
701-7608799-9079442,11/03/2021,8.99,
702-0174248-4190643,10/03/2021,8.99,
702-0174248-4190643,10/03/2021,8.99,
701-1605795-5008230,09/03/2021,9.99,
701-0775374-3133845,09/03/2021,8.99,
702-0557125-2305802,08/03/2021,17.98,
702-7648984-6033811,08/03/2021,9.99,
702-3428901-1956234,08/03/2021,8.99,
701-9491667-3459454,07/03/2021,8.99,
701-9491667-3459454,07/03/2021,7.99,
701-2387809-7809059,05/03/2021,7.99,
701-2387809-7809059,05/03/2021,7.99,
701-7861524-7719420,05/03/2021,8.99,
701-8735820-9655442,04/03/2021,7.99,
701-5408851-8325804,03/03/2021,17.46,
701-4870011-7535448,03/03/2021,15.99,
701-4870011-7535448,03/03/2021,31.98,
702-8446810-9732201,03/03/2021,15.99,
701-2219619-2537832,02/03/2021,17.99,
701-8556468-2084200,02/03/2021,18.99,
702-9598620-8341036,02/03/2021,25.99,
701-3261043-8789048,01/03/2021,15.99,
111-5852517-3824266,01/04/2021,7.99,
114-7412355-8725006,01/04/2021,13.99,
114-1261977-3350662,01/04/2021,7.99,
113-4646730-9362651,01/04/2021,13.99,
113-8146006-1533854,01/04/2021,13.99,
112-0781691-7575401,01/04/2021,7.99,
112-0195105-0236200,01/04/2021,13.99,
114-9918103-8406613,01/04/2021,6.99,
111-7242860-4599427,01/04/2021,6.99,
111-6615191-1546665,01/04/2021,29.98,
111-7056514-2789027,01/04/2021,13.99,
113-9827616-6443403,01/04/2021,7.99,
112-8214737-3093856,31/03/2021,3.99,
112-9936845-6091405,31/03/2021,3.99,
112-9936845-6091405,31/03/2021,3.99,
112-1173488-2361813,31/03/2021,19.98,
112-8598448-9525002,31/03/2021,23.98,
114-3871910-8741001,31/03/2021,7.99,
114-3871910-8741001,31/03/2021,13.99,
112-6634532-3896237,31/03/2021,7.99,
111-8281538-8825003,31/03/2021,7.99,
114-4044194-7572256,31/03/2021,3.99,
113-0679217-2456259,31/03/2021,13.99,
111-3816856-9268264,31/03/2021,7.99,
111-2128087-9293860,30/03/2021,7.99,
113-5237210-4200217,30/03/2021,23.98,
112-3839879-4963454,30/03/2021,7.99,
113-1474605-1321004,30/03/2021,7.99,
113-5411726-8401855,30/03/2021,13.99,
114-1913196-2381815,30/03/2021,3.99,
113-0705787-5470631,29/03/2021,3.99,
111-7667363-0512236,29/03/2021,6.99,
114-9198819-1832204,29/03/2021,6.99,
112-8900204-1929831,29/03/2021,7.99,
111-0118645-8916203,29/03/2021,13.99,
111-8582038-2966617,29/03/2021,17.98,
113-6855168-4147411,29/03/2021,3.99,
114-8070880-9015403,29/03/2021,7.99,
111-4422833-3424218,29/03/2021,7.99,
112-8755903-0905820,28/03/2021,7.99,
111-4401851-5747407,28/03/2021,7.99,
111-8670537-4926606,28/03/2021,7.99,
112-0685246-9619436,28/03/2021,7.99,
111-3411870-1934628,28/03/2021,7.99,
113-9741578-9001817,28/03/2021,6.99,
111-5320356-3165822,28/03/2021,6.99,
112-0688325-0577054,28/03/2021,7.99,
114-4192173-5592241,28/03/2021,7.99,
113-0996801-5493824,28/03/2021,6.99,
112-6790036-3133817,28/03/2021,6.99,
112-5965161-2073812,28/03/2021,6.99,
111-6674950-4157854,27/03/2021,7.99,
111-5796697-5817031,27/03/2021,6.99,
114-8184930-6224253,27/03/2021,7.99,
113-3681127-9745000,27/03/2021,7.99,
112-6578901-2193856,27/03/2021,3.99,
113-0021286-3040273,26/03/2021,13.99,
112-4276571-9093034,26/03/2021,15.98,
113-0267033-4898670,26/03/2021,13.99,
111-7078559-2822631,26/03/2021,7.99,
114-9731808-2180231,26/03/2021,6.99,
112-6050607-8847400,26/03/2021,6.99,
114-6970627-3611444,26/03/2021,3.99,
113-7185974-9587449,26/03/2021,3.99,
114-6768874-3542614,26/03/2021,11.99,
112-2511853-9113053,26/03/2021,3.99,
112-2996574-0652224,26/03/2021,7.99,
114-5939283-7273818,26/03/2021,7.99,
111-7103822-9406664,26/03/2021,3.99,
114-0010923-7956212,26/03/2021,7.99,
113-3481816-0029819,26/03/2021,13.99,
113-6127965-6298609,26/03/2021,7.99,
111-2066841-6423457,26/03/2021,6.99,
111-6606431-7106648,25/03/2021,7.99,
113-0752815-1049042,25/03/2021,7.99,
111-1953713-2445807,25/03/2021,13.99,
111-3374453-6371445,25/03/2021,7.99,
111-3374453-6371445,25/03/2021,7.99,
113-4357088-9569837,25/03/2021,13.99,
113-4357088-9569837,25/03/2021,13.99,
113-4357088-9569837,25/03/2021,7.99,
113-4357088-9569837,25/03/2021,7.99,
113-1224730-1549013,25/03/2021,17.98,
114-3352584-3816261,25/03/2021,7.99,
113-3085666-7442617,25/03/2021,13.99,
113-1133455-0630608,25/03/2021,7.99,
112-0076377-8980262,25/03/2021,7.99,
112-3533107-2903437,24/03/2021,15.98,
111-4011393-9033847,24/03/2021,13.99,
111-5897831-3435433,24/03/2021,7.99,
114-5922056-1486636,24/03/2021,7.99,
111-7500071-5573863,24/03/2021,6.99,
114-6616101-1057005,24/03/2021,11.98,
114-6616101-1057005,24/03/2021,11.98,
114-6616101-1057005,24/03/2021,11.98,
111-2178851-4320220,24/03/2021,7.99,
114-9417920-7936212,24/03/2021,7.99,
114-8363661-7128219,24/03/2021,7.99,
114-6952200-6928219,24/03/2021,13.99,
111-9012762-7784264,24/03/2021,7.99,
114-1301446-0709816,24/03/2021,7.99,
111-2901181-0764258,24/03/2021,7.99,
113-1729407-5659400,24/03/2021,7.99,
113-1729407-5659400,24/03/2021,7.99,
114-0956962-1707434,24/03/2021,7.99,
114-0956962-1707434,24/03/2021,7.99,
112-4083103-2811420,24/03/2021,23.98,
112-1600173-0919462,24/03/2021,13.99,
112-1600173-0919462,24/03/2021,13.99,
113-4997514-1464265,23/03/2021,6.99,
111-9490625-3642622,23/03/2021,7.99,
113-0034461-8266673,23/03/2021,13.99,
111-0040259-1041008,23/03/2021,13.99,
111-2085625-0321829,23/03/2021,15.98,
112-5214399-1286666,23/03/2021,7.99,
112-5214399-1286666,23/03/2021,7.99,
112-5214399-1286666,23/03/2021,7.99,
112-5214399-1286666,23/03/2021,15.98,
112-5214399-1286666,23/03/2021,7.99,
112-5214399-1286666,23/03/2021,15.98,
114-1955249-9217809,23/03/2021,31.96,
111-9491857-1359444,23/03/2021,6.99,
111-4373787-3365061,23/03/2021,7.99,
112-6924785-8033034,23/03/2021,19.98,
112-9966034-5864226,23/03/2021,7.99,
112-5954516-9075432,23/03/2021,7.99,
112-2195154-9101845,23/03/2021,7.99,
112-5977759-4072211,23/03/2021,13.99,
112-4306388-1204260,23/03/2021,7.99,
113-6085075-5921847,23/03/2021,7.99,
111-1057182-8189067,23/03/2021,7.99,
111-1050151-5565001,23/03/2021,7.99,
113-9670564-2496206,22/03/2021,7.99,
112-0857934-4230646,22/03/2021,13.99,
112-5320988-2069007,22/03/2021,7.99,
111-1961161-5918607,22/03/2021,7.99,
114-5262885-3157005,22/03/2021,7.99,
114-3204936-6515435,22/03/2021,11.99,
113-1206280-1625829,22/03/2021,7.99,
111-5085567-1210618,22/03/2021,7.99,
114-1384036-6545023,22/03/2021,7.99,
112-9742417-4663411,22/03/2021,7.99,
113-4380565-1408226,22/03/2021,13.99,
114-5348280-2093026,22/03/2021,13.99,
114-3041958-3245847,21/03/2021,7.99,
