Description,Date,Credit,Debit
701-8136133-4915426,01/06/2021,8.99,
701-8136133-4915426,01/06/2021,8.99,
702-9110892-6633854,01/06/2021,7.99,
702-0811388-3045033,01/06/2021,7.99,
702-1790317-3585067,01/06/2021,18.48,
702-4495955-4353063,31/05/2021,7.99,
702-5020785-6097059,31/05/2021,17.98,
701-3055153-8033015,29/05/2021,8.99,
701-6956569-2997802,29/05/2021,8.99,
701-2503753-0473836,29/05/2021,7.99,
701-0793183-6705054,29/05/2021,7.99,
702-8207701-3319438,28/05/2021,8.99,
701-2706610-2382650,28/05/2021,8.99,
701-3180256-0322603,26/05/2021,9.99,
702-6070147-5488227,26/05/2021,8.99,
702-6884949-5985849,26/05/2021,7.99,
702-6254086-9657852,26/05/2021,7.99,
701-0600890-5485049,25/05/2021,7.99,
701-4358685-3377865,25/05/2021,8.99,
702-9935145-8761064,25/05/2021,8.99,
701-3302174-5381862,24/05/2021,8.99,
701-7988699-3786609,24/05/2021,5.99,
701-7988699-3786609,24/05/2021,5.99,
701-7988699-3786609,24/05/2021,7.99,
702-4562496-8849063,23/05/2021,8.99,
702-3540963-8383416,23/05/2021,13.79,
702-7901668-2477825,23/05/2021,8.99,
702-6121633-6286631,23/05/2021,7.99,
702-0852740-5175411,23/05/2021,8.99,
702-4746799-3663462,22/05/2021,8.99,
702-5046655-1823407,22/05/2021,19.98,
702-7528337-1871438,22/05/2021,9.99,
701-2532762-7661007,22/05/2021,7.99,
702-9338407-2190664,21/05/2021,8.99,
702-4483707-4379446,19/05/2021,15.99,
702-1719545-6542605,19/05/2021,18.48,
701-4889324-6014636,19/05/2021,15.99,
702-3797925-5508268,19/05/2021,8.99,
701-9070929-9790649,18/05/2021,7.99,
701-9070929-9790649,18/05/2021,7.99,
701-9070929-9790649,18/05/2021,7.99,
701-4873422-1825055,18/05/2021,17.99,
702-1881033-9082629,18/05/2021,47.97,
701-8775527-9463405,18/05/2021,8.99,
702-7586256-8276218,17/05/2021,31.98,
702-7586256-8276218,17/05/2021,15.99,
702-7586256-8276218,17/05/2021,31.98,
702-2088435-5489841,17/05/2021,15.99,
701-0372003-8177834,17/05/2021,8.99,
702-7158689-3808241,17/05/2021,7.99,
702-7158689-3808241,17/05/2021,7.99,
701-1911974-1210644,17/05/2021,8.99,
701-1911974-1210644,17/05/2021,8.99,
702-2884099-1785005,16/05/2021,17.98,
702-6232314-2614661,16/05/2021,8.99,
702-4222018-6497817,15/05/2021,7.99,
701-7638030-0880231,15/05/2021,8.99,
701-7638030-0880231,15/05/2021,8.99,
701-7638030-0880231,15/05/2021,8.99,
701-7638030-0880231,15/05/2021,8.99,
701-6324129-9437825,15/05/2021,8.99,
701-0730241-0878627,14/05/2021,17.99,
702-9034546-4387407,13/05/2021,7.99,
702-6605732-2898625,13/05/2021,8.99,
701-0926067-8370631,13/05/2021,15.99,
701-0150376-9696214,13/05/2021,15.99,
702-3802659-1837844,12/05/2021,8.99,
701-2335482-0006616,12/05/2021,12.99,
701-0526454-2713844,12/05/2021,7.99,
701-0526454-2713844,12/05/2021,7.99,
701-5101534-2323436,11/05/2021,5.99,
702-9157036-1972209,11/05/2021,7.99,
701-4232384-0844205,11/05/2021,19.98,
701-2235292-5644266,10/05/2021,8.99,
702-9482938-5685014,10/05/2021,8.99,
702-4626516-8697833,10/05/2021,8.99,
701-9915769-7510607,09/05/2021,7.99,
702-1457070-9393030,09/05/2021,17.98,
702-5109229-3240245,08/05/2021,8.99,
701-8607540-9393814,08/05/2021,7.99,
702-0512451-3027436,08/05/2021,7.99,
701-9143666-2813021,07/05/2021,9.99,
701-9212075-3036225,06/05/2021,15.99,
701-0368111-5159444,06/05/2021,18.48,
701-5985698-4556256,06/05/2021,7.99,
702-0986507-1029065,06/05/2021,15.99,
702-9316973-7692232,05/05/2021,15.99,
701-4422769-6266637,05/05/2021,8.99,
702-9011704-0169012,04/05/2021,8.99,
702-8740285-6952214,04/05/2021,8.99,
702-9645318-0471406,04/05/2021,17.99,
701-9007831-9418646,04/05/2021,9.99,
701-8209047-0773057,03/05/2021,8.99,
701-2784449-8750617,03/05/2021,17.00,
701-8377566-4429024,03/05/2021,15.99,
702-7617906-0061868,03/05/2021,7.99,
701-4641436-3545033,03/05/2021,8.99,
701-1762158-2057837,02/05/2021,8.99,
113-9751639-8176219,01/06/2021,11.99,
114-8596463-0098643,01/06/2021,7.99,
114-3175488-8229053,01/06/2021,7.99,
114-3175488-8229053,01/06/2021,7.99,
113-3185339-6378643,01/06/2021,6.99,
114-4325367-8834642,01/06/2021,19.99,
114-6926900-2361858,01/06/2021,13.99,
114-6926900-2361858,01/06/2021,7.99,
114-6926900-2361858,01/06/2021,7.99,
112-0632741-0157001,01/06/2021,7.99,
114-8262845-1389855,31/05/2021,19.99,
111-9123867-2615430,31/05/2021,13.99,
111-9123867-2615430,31/05/2021,13.99,
