Description,Date,Credit,Debit
701-2764511-1600208,31/01/2021,7.99,
702-3384963-3536235,30/01/2021,7.99,
702-4259059-4529825,29/01/2021,9.99,
701-9580576-6904231,27/01/2021,19.99,
701-5900855-0043458,25/01/2021,9.99,
701-5900855-0043458,25/01/2021,9.99,
701-5900855-0043458,25/01/2021,9.99,
701-9998376-2971443,24/01/2021,10.84,
701-9656500-9616213,24/01/2021,9.99,
702-7010997-2260253,24/01/2021,7.99,
702-7010997-2260253,24/01/2021,7.99,
702-7010997-2260253,24/01/2021,7.99,
702-2914459-3939438,21/01/2021,9.99,
702-4191451-3181049,19/01/2021,19.99,
702-2996822-4432241,18/01/2021,22.04,
701-1328235-6357862,17/01/2021,9.99,
702-0956190-4793035,17/01/2021,9.99,
702-0956190-4793035,17/01/2021,9.99,
702-6393100-9349063,16/01/2021,11.00,
702-6393100-9349063,16/01/2021,11.00,
701-5065054-6414660,16/01/2021,9.99,
702-6263699-2199420,15/01/2021,7.99,
702-6263699-2199420,15/01/2021,7.99,
702-6263699-2199420,15/01/2021,7.99,
701-4011721-2751466,15/01/2021,7.99,
701-4011721-2751466,15/01/2021,7.99,
702-4101905-9224205,15/01/2021,7.99,
702-5085695-9249010,14/01/2021,9.99,
702-9040934-5280243,13/01/2021,7.99,
701-4327304-5007429,13/01/2021,9.99,
701-6173498-6413840,12/01/2021,9.99,
701-7324465-0464201,12/01/2021,9.99,
701-6798471-7717026,11/01/2021,9.99,
702-1558769-5391420,10/01/2021,9.99,
701-0872924-5437839,09/01/2021,7.99,
701-0872924-5437839,09/01/2021,7.99,
701-1170672-3475404,09/01/2021,17.99,
702-8589164-4912215,08/01/2021,9.99,
702-2942187-2961847,07/01/2021,17.99,
702-3415766-5252242,07/01/2021,9.99,
701-6165834-4440262,06/01/2021,17.99,
702-7692285-4695400,06/01/2021,9.99,
702-1225224-5789857,05/01/2021,19.99,
702-7064743-4660269,05/01/2021,7.99,
702-0711392-3379406,05/01/2021,22.48,
702-5700728-6938647,04/01/2021,9.99,
701-5449645-3629806,03/01/2021,7.99,
701-5449645-3629806,03/01/2021,7.99,
702-4908688-0159433,03/01/2021,19.98,
112-4119886-3662647,01/02/2021,7.99,
113-4134723-2561854,01/02/2021,7.99,
113-4134723-2561854,01/02/2021,7.99,
114-8705265-3070618,01/02/2021,15.98,
114-0151453-3205022,31/01/2021,8.99,
114-0151453-3205022,31/01/2021,8.99,
112-4734701-3986644,31/01/2021,7.99,
111-9787947-5236200,31/01/2021,8.99,
112-1133856-6413865,31/01/2021,7.99,
112-8796304-3553861,31/01/2021,7.99,
112-8836592-6081862,31/01/2021,8.99,
112-4283931-7573009,31/01/2021,8.99,
111-6840533-8982664,30/01/2021,8.99,
113-1222649-6251420,30/01/2021,7.99,
114-2725152-9553801,30/01/2021,18.99,
111-4682981-7359453,30/01/2021,7.99,
112-3815639-6734669,30/01/2021,7.99,
112-3815639-6734669,30/01/2021,7.99,
112-3815639-6734669,30/01/2021,7.99,
112-3815639-6734669,30/01/2021,7.99,
112-3866790-1570616,30/01/2021,8.02,
114-9153411-8713838,30/01/2021,19.99,
111-9418027-8410663,29/01/2021,18.99,
111-3211757-7341006,29/01/2021,7.99,
111-7801100-2212222,29/01/2021,7.99,
114-4635296-0585002,29/01/2021,19.99,
112-9048211-4481029,29/01/2021,7.99,
112-6080526-4913025,29/01/2021,7.99,
111-2734666-8450635,29/01/2021,7.99,
113-6210909-8222665,29/01/2021,17.98,
112-9923534-6761851,29/01/2021,7.99,
113-0826233-5401858,29/01/2021,11.99,
114-6169009-2774655,29/01/2021,15.98,
112-2396289-2526615,28/01/2021,7.99,
111-5796213-9332263,28/01/2021,7.99,
113-5553185-2213853,28/01/2021,7.99,
113-6620109-5149032,28/01/2021,7.99,
113-1202753-5153801,28/01/2021,7.99,
113-1402861-4389061,28/01/2021,7.99,
114-3621441-5060242,28/01/2021,7.99,
113-7178351-2023464,28/01/2021,7.99,
113-7450246-8027456,28/01/2021,7.99,
113-7450246-8027456,28/01/2021,7.99,
112-4127434-6637833,27/01/2021,11.99,
114-9079166-9653033,27/01/2021,7.99,
111-7750163-8518645,27/01/2021,7.99,
111-3773366-1017055,27/01/2021,18.99,
114-7507109-4189041,27/01/2021,7.99,
112-1145691-6629031,27/01/2021,8.99,
114-0262327-1254642,27/01/2021,15.98,
114-9792676-0138619,26/01/2021,7.99,
113-4237495-0820256,26/01/2021,8.99,
113-4237495-0820256,26/01/2021,8.99,
112-8820252-0937849,26/01/2021,18.99,
112-8820252-0937849,26/01/2021,18.99,
112-7583147-5530600,26/01/2021,7.99,
113-4665744-5698626,26/01/2021,7.99,
111-2755465-1253825,26/01/2021,7.99,
112-1131159-7990655,26/01/2021,7.99,
112-5388858-9956258,26/01/2021,7.99,
112-5388858-9956258,26/01/2021,7.99,
113-3722382-8667431,26/01/2021,8.99,
113-4324712-9182668,26/01/2021,7.99,
112-7399640-6291404,25/01/2021,7.99,
113-5966705-8992226,25/01/2021,8.99,
112-2600779-5441030,25/01/2021,7.99,
111-7636384-5793816,25/01/2021,7.99,
113-2388548-6045067,25/01/2021,7.99,
113-0567425-2644248,25/01/2021,13.99,
114-3502610-9328209,24/01/2021,8.99,
114-2862411-3745805,24/01/2021,7.99,
113-7324419-8635415,24/01/2021,7.99,
113-8810268-3634655,24/01/2021,11.99,
111-8520589-7626632,24/01/2021,7.99,
113-5113812-6108233,24/01/2021,8.99,
113-5113812-6108233,24/01/2021,8.99,
111-1306647-0197059,24/01/2021,13.99,
112-6661989-0071430,23/01/2021,8.99,
114-2653177-4414631,23/01/2021,7.99,
113-7244154-0234639,23/01/2021,19.99,
114-1975619-0597838,23/01/2021,8.99,
114-3274427-8929838,23/01/2021,13.99,
114-1748290-5703443,23/01/2021,7.99,
113-2344572-2607400,23/01/2021,18.99,
111-8720131-2835464,23/01/2021,7.99,
111-3635242-6882619,23/01/2021,7.99,
114-8823258-4504212,23/01/2021,8.99,
114-8823258-4504212,23/01/2021,44.95,
111-3075351-3438611,22/01/2021,7.99,
112-2802744-6600263,22/01/2021,8.99,
111-1122875-2407420,22/01/2021,7.99,
111-1122875-2407420,22/01/2021,7.99,
114-9843298-2330612,22/01/2021,13.99,
111-8779928-1685020,22/01/2021,13.99,
112-0523157-3724218,22/01/2021,13.99,
111-1019333-2360259,22/01/2021,7.99,
113-7022166-2217003,22/01/2021,7.99,
112-8642225-0609003,22/01/2021,7.99,
112-5053533-5626649,22/01/2021,13.99,
114-6720193-6325064,22/01/2021,7.99,
111-8649295-6449000,22/01/2021,7.99,
112-0764492-7851425,21/01/2021,7.99,
114-1892656-7040240,21/01/2021,7.99,
112-7686017-4064210,21/01/2021,7.99,
114-9727680-6952244,21/01/2021,15.98,
112-5336417-4661850,21/01/2021,10.98,
112-5336417-4661850,21/01/2021,10.99,
114-5160149-3256264,20/01/2021,7.99,
114-5160149-3256264,20/01/2021,7.99,
113-1571602-0790607,20/01/2021,7.99,
113-8513406-8689868,20/01/2021,8.99,
111-2663229-8041042,20/01/2021,7.99,
111-7599220-9526659,20/01/2021,7.99,
