Description,Date,Credit,Debit
701-2726013-2146648,30/06/2020,19.98,
701-8519410-0940208,28/06/2020,19.98,
701-3724415-7970632,27/06/2020,9.99,
702-0090942-6076228,26/06/2020,9.99,
702-1581343-1356214,24/06/2020,9.99,
702-1581343-1356214,24/06/2020,9.99,
702-5754559-5937836,22/06/2020,10.36,
702-5754559-5937836,22/06/2020,10.36,
702-6030580-6105814,22/06/2020,9.99,
702-6331691-7642600,21/06/2020,9.99,
702-4212253-6962627,21/06/2020,11.38,
702-4212253-6962627,21/06/2020,11.38,
702-4212253-6962627,21/06/2020,11.38,
702-9373166-9204230,20/06/2020,9.99,
702-3441267-3438665,19/06/2020,9.99,
701-9962977-7706629,18/06/2020,9.99,
701-9962977-7706629,18/06/2020,9.99,
701-3448994-4815455,18/06/2020,9.99,
701-3448994-4815455,18/06/2020,9.99,
701-3448994-4815455,18/06/2020,9.99,
702-8388626-5762640,18/06/2020,9.99,
702-9289997-6701857,17/06/2020,9.99,
702-7514295-8888266,17/06/2020,9.99,
701-5792910-1726657,17/06/2020,9.99,
701-6515672-1427417,17/06/2020,9.99,
701-6515672-1427417,17/06/2020,9.99,
701-6275596-0788250,17/06/2020,9.99,
702-7255891-0267459,15/06/2020,9.99,
702-6981804-7584213,15/06/2020,9.99,
701-7765200-2845067,15/06/2020,9.99,
701-0597821-3177030,15/06/2020,9.99,
701-0597821-3177030,15/06/2020,9.99,
702-0685823-2878604,14/06/2020,9.99,
702-3731213-4801067,14/06/2020,9.99,
701-5170407-3141864,13/06/2020,19.98,
702-7981252-9633056,13/06/2020,9.99,
702-7981252-9633056,13/06/2020,9.99,
701-2076353-4906605,13/06/2020,12.05,
701-7068500-0044205,12/06/2020,35.99,
702-8759516-5225848,12/06/2020,9.99,
702-1379443-9729802,11/06/2020,9.99,
701-7597163-4097803,11/06/2020,10.85,
702-9977754-4078630,11/06/2020,9.99,
701-4444005-4234656,10/06/2020,9.99,
701-4444005-4234656,10/06/2020,9.99,
702-1584489-7507446,10/06/2020,9.99,
701-3059458-5218663,09/06/2020,9.99,
701-3059458-5218663,09/06/2020,9.99,
701-6749682-6084215,09/06/2020,9.99,
701-6749682-6084215,09/06/2020,9.99,
702-4571410-8673807,09/06/2020,9.99,
701-4593369-0549010,09/06/2020,9.99,
701-6441783-1494624,08/06/2020,9.99,
701-6441783-1494624,08/06/2020,9.99,
702-0649799-3399420,08/06/2020,9.99,
701-6737803-7103413,07/06/2020,23.68,
701-8938810-5092232,07/06/2020,19.98,
701-7996332-4192245,07/06/2020,19.98,
701-7996332-4192245,07/06/2020,19.98,
702-2890452-2628250,06/06/2020,9.99,
702-1847783-6201822,06/06/2020,9.99,
702-0504577-5513869,05/06/2020,9.99,
702-4875866-9690614,04/06/2020,9.99,
702-9161464-0523466,04/06/2020,9.99,
701-5499294-4396255,03/06/2020,9.99,
701-5499294-4396255,03/06/2020,9.99,
702-7505957-0665018,03/06/2020,9.99,
702-7505957-0665018,03/06/2020,9.99,
702-0342798-2840276,03/06/2020,9.99,
702-6629320-2227407,02/06/2020,9.99,
702-1013651-9777854,01/06/2020,9.99,
701-6045646-7542660,01/06/2020,9.99,
