Description,Date,Credit,Debit
701-4742518-1553026,24/12/2020,9.99,
701-7207402-1629802,29/12/2020,9.99,
702-5092494-2141800,22/12/2020,7.99,
701-9420280-5869053,29/12/2020,7.99,
701-9719644-2561832,27/12/2020,9.99,
701-2613871-3102646,25/12/2020,9.99,
701-2613871-3102646,25/12/2020,9.99,
701-7337901-1078639,28/12/2020,19.99,
701-7320793-1485034,26/12/2020,9.99,
702-6538279-8571426,22/12/2020,9.99,
702-1345232-5449022,22/12/2020,7.99,
701-6501141-5802617,25/12/2020,9.99,
702-6278686-2833054,24/12/2020,7.99,
701-7739769-0362629,22/12/2020,9.99,
702-2428329-4597048,20/12/2020,9.99,
701-8127461-9035415,21/12/2020,7.99,
701-3802034-1078662,22/12/2020,9.99,
701-0681153-4137804,22/12/2020,9.99,
701-1045827-1642612,21/12/2020,7.99,
701-9793477-5229052,21/12/2020,7.99,
701-7702839-0576263,20/12/2020,9.99,
701-4819542-7987466,21/12/2020,9.99,
702-2124583-5881002,20/12/2020,9.99,
701-5808083-5416235,20/12/2020,7.99,
701-6011115-3289812,19/12/2020,9.99,
701-3069668-8689057,20/12/2020,7.99,
701-3069668-8689057,20/12/2020,7.99,
701-3069668-8689057,20/12/2020,7.99,
701-3069668-8689057,20/12/2020,7.99,
702-7819119-0762629,19/12/2020,7.99,
701-6563979-5152267,10/12/2020,7.99,
701-8097069-3945818,18/12/2020,9.99,
702-7723697-9733003,16/12/2020,9.99,
701-5451524-9161821,18/12/2020,7.99,
702-1152724-6935420,17/12/2020,9.99,
701-0195140-3216213,17/12/2020,7.99,
701-0564040-3790665,13/12/2020,7.99,
702-1429000-8546621,14/12/2020,9.99,
702-6681986-1069064,13/12/2020,9.99,
702-6681986-1069064,13/12/2020,9.99,
702-3681130-8545820,14/12/2020,9.99,
701-8022020-9411453,16/12/2020,9.99,
701-2922436-7054618,15/12/2020,9.99,
701-2922436-7054618,15/12/2020,19.99,
701-9459213-2671449,11/12/2020,7.99,
702-7618122-1243436,15/12/2020,19.99,
701-3755258-3462653,13/12/2020,9.99,
702-6181112-4686664,15/12/2020,7.99,
702-2635319-7226616,12/12/2020,7.99,
702-4278627-4505816,13/12/2020,9.99,
702-4126838-3704232,13/12/2020,9.99,
702-4126838-3704232,13/12/2020,9.99,
702-4126838-3704232,13/12/2020,9.99,
701-8177738-1189852,13/12/2020,9.99,
701-7862203-1086626,10/12/2020,7.99,
702-7074434-2937818,12/12/2020,19.99,
702-7074434-2937818,12/12/2020,9.99,
701-4375714-5776223,05/12/2020,9.99,
702-5271982-5925008,12/12/2020,9.99,
701-8168147-3010667,12/12/2020,9.99,
701-5450482-6909801,12/12/2020,9.99,
701-1018010-5445031,12/12/2020,9.99,
701-0993798-3821004,11/12/2020,9.99,
701-0993798-3821004,11/12/2020,9.99,
701-0993798-3821004,11/12/2020,9.99,
702-8347414-0529026,11/12/2020,7.99,
702-9331566-5767436,11/12/2020,19.99,
702-2858332-7935456,10/12/2020,9.99,
702-2858332-7935456,10/12/2020,9.99,
702-2858332-7935456,10/12/2020,9.99,
702-8276441-4956215,11/12/2020,24.99,
702-7871691-9801812,11/12/2020,9.99,
702-8627571-1946605,10/12/2020,19.99,
702-8627571-1946605,10/12/2020,19.99,
702-8627571-1946605,10/12/2020,19.99,
702-8627571-1946605,10/12/2020,19.99,
702-6916769-9074640,10/12/2020,7.99,
702-7736871-1131412,06/12/2020,7.99,
702-3700837-8209867,09/12/2020,9.99,
702-6586642-9881837,09/12/2020,7.99,
702-7456436-1316251,06/12/2020,7.99,
701-3256182-2360264,08/12/2020,9.99,
702-2994031-4097817,08/12/2020,9.99,
702-9246194-8988209,05/12/2020,19.98,
702-9576279-9161826,05/12/2020,19.99,
701-8772383-3685862,04/12/2020,9.99,
702-6906508-8026620,02/12/2020,9.99,
702-2294728-8397826,07/12/2020,9.99,
701-9413584-1761853,05/12/2020,7.99,
701-9996501-7377813,07/12/2020,9.99,
701-4323493-6852212,07/12/2020,10.48,
701-1823035-8523401,06/12/2020,7.99,
701-0481188-9075436,06/12/2020,9.99,
701-0481188-9075436,06/12/2020,9.99,
702-2056871-5113058,05/12/2020,7.99,
702-2056871-5113058,05/12/2020,7.99,
702-2798041-3700256,30/11/2020,7.99,
702-0163763-5266677,06/12/2020,7.99,
702-9361670-3342603,05/12/2020,9.99,
701-2273249-3367440,01/12/2020,9.99,
702-5193724-2436218,05/12/2020,9.99,
701-2107728-6278617,05/12/2020,9.99,
701-7925838-1033061,04/12/2020,7.99,
701-4131633-5002610,04/12/2020,9.99,
702-1576804-6311439,04/12/2020,19.99,
702-0580564-0921833,04/12/2020,9.99,
702-0580564-0921833,04/12/2020,9.99,
701-4170774-0196262,04/12/2020,7.99,
701-6463984-2477844,02/12/2020,9.99,
701-0580416-1569856,03/12/2020,9.99,
702-5844592-0919468,29/11/2020,9.99,
702-5872683-3552255,30/11/2020,7.99,
701-6807185-4610643,01/12/2020,19.99,
702-4572625-7547435,28/11/2020,7.99,
702-0221562-1745075,02/12/2020,9.99,
702-2508425-5009829,28/11/2020,7.99,
702-2508425-5009829,28/11/2020,7.99,
702-2508425-5009829,28/11/2020,7.99,
702-2771773-1603406,27/11/2020,7.99,
702-8941834-6394634,30/11/2020,6.39,
702-8941834-6394634,30/11/2020,6.39,
