Description,Date,Credit,Debit
702-4844555-8940249,01/10/2020,9.99,
701-9072840-2384232,01/10/2020,9.99,
701-3642350-8464263,30/09/2020,9.99,
702-7314433-9899462,30/09/2020,9.99,
702-5066497-6845051,30/09/2020,9.99,
702-0978673-2675450,30/09/2020,9.99,
702-6902381-8137833,29/09/2020,9.99,
701-3189940-5677814,29/09/2020,9.99,
701-2028638-1691456,27/09/2020,10.84,
701-2028638-1691456,27/09/2020,10.85,
701-2028638-1691456,27/09/2020,10.85,
701-9748353-2301849,27/09/2020,9.99,
701-9474491-6871405,26/09/2020,9.99,
701-5999470-5524242,26/09/2020,9.99,
702-4744046-5585026,26/09/2020,9.99,
702-1114647-8117826,26/09/2020,9.99,
702-8957129-7879458,26/09/2020,9.99,
702-0978343-3786623,26/09/2020,9.99,
702-2446916-6864247,25/09/2020,9.99,
702-9633841-4141043,24/09/2020,9.99,
701-0975281-8484226,24/09/2020,9.99,
702-8779826-8071428,24/09/2020,9.99,
702-1594268-7349859,24/09/2020,9.99,
702-1594268-7349859,24/09/2020,9.99,
702-1137193-3495449,24/09/2020,9.99,
702-4982865-8797052,24/09/2020,12.05,
702-0550951-0029066,24/09/2020,9.99,
701-1794625-8733025,23/09/2020,9.99,
701-1794625-8733025,23/09/2020,9.99,
702-9170120-6093043,22/09/2020,9.99,
702-4651823-1041042,22/09/2020,9.99,
701-1826980-3745026,22/09/2020,9.99,
701-9293261-6797854,22/09/2020,9.99,
701-5505470-7673825,22/09/2020,9.99,
701-0131257-2346645,22/09/2020,9.99,
701-5860954-8816240,22/09/2020,9.99,
701-7932135-0422642,21/09/2020,9.99,
701-3159952-7813861,21/09/2020,9.99,
701-3947844-8533837,20/09/2020,9.99,
701-9301608-8679460,20/09/2020,19.98,
702-9990181-5635462,19/09/2020,9.99,
701-2672165-9101844,19/09/2020,9.99,
701-0708837-3489058,19/09/2020,9.99,
701-7326720-6533069,19/09/2020,9.99,
702-8219554-2702658,19/09/2020,9.99,
701-8552403-1216219,18/09/2020,9.99,
702-5852680-8422643,18/09/2020,9.99,
702-1141383-5117805,18/09/2020,9.99,
701-6037957-6109049,18/09/2020,9.99,
701-3023168-4718631,18/09/2020,9.99,
701-9299734-8002617,17/09/2020,9.99,
701-3744478-5249012,17/09/2020,9.99,
701-6495591-9472233,16/09/2020,9.99,
701-2202999-7178620,16/09/2020,9.99,
701-0156234-5498626,16/09/2020,9.99,
701-3831010-7608229,16/09/2020,9.99,
701-3544854-0123434,15/09/2020,9.99,
702-5928555-7021825,15/09/2020,9.99,
701-1977896-1023449,15/09/2020,9.99,
701-7493585-8637854,15/09/2020,9.99,
701-0983905-0009000,15/09/2020,9.99,
702-3128495-8920229,14/09/2020,9.99,
702-7398022-0408220,14/09/2020,9.99,
702-3538404-2523434,13/09/2020,9.99,
702-1079788-0904208,13/09/2020,0.00,
702-6237243-2245045,13/09/2020,9.99,
702-5398574-9369863,13/09/2020,9.99,
701-6193353-3405849,13/09/2020,9.99,
701-0227212-8917015,13/09/2020,9.99,
701-4964508-1240258,12/09/2020,9.99,
702-0638934-6214638,12/09/2020,9.99,
702-9013926-5405857,12/09/2020,9.99,
702-0764315-5898601,12/09/2020,9.99,
701-7754809-3545024,12/09/2020,9.99,
701-5696849-6415411,12/09/2020,9.99,
701-5696849-6415411,12/09/2020,9.99,
701-0797054-9092206,11/09/2020,9.99,
701-9488994-0940255,11/09/2020,9.99,
702-2018657-4533066,11/09/2020,9.99,
701-7643241-2253060,10/09/2020,9.99,
702-4026934-7662602,10/09/2020,9.99,
702-4528809-0866612,10/09/2020,9.99,
702-5163114-4836267,10/09/2020,9.99,
701-9305871-2449838,10/09/2020,9.99,
702-6942928-9764211,09/09/2020,9.99,
702-5064503-1924209,09/09/2020,9.99,
702-1493013-2987436,08/09/2020,9.99,
702-0720323-1405835,08/09/2020,9.99,
702-3329846-2325809,08/09/2020,9.99,
702-0151399-6369843,08/09/2020,9.99,
701-5913655-8345010,07/09/2020,9.99,
702-7340886-7252231,07/09/2020,9.99,
701-3713147-2885022,07/09/2020,9.99,
701-2913106-8937855,07/09/2020,9.99,
702-2803914-7929002,06/09/2020,9.99,
701-3441136-2202657,06/09/2020,9.99,
702-3376343-9881813,05/09/2020,9.99,
