Description,Date,Credit,Debit
701-8448012-0307457,30/04/2020,9.99,
701-8581179-8733021,30/04/2020,9.99,
702-8225063-5887403,30/04/2020,9.99,
701-6286406-4624257,29/04/2020,9.99,
702-7740545-9599411,28/04/2020,0.00,
702-7740545-9599411,28/04/2020,0.00,
702-7740545-9599411,28/04/2020,0.00,
702-7740545-9599411,28/04/2020,0.00,
702-6968786-2663446,28/04/2020,9.99,
702-6968786-2663446,28/04/2020,9.99,
702-6968786-2663446,28/04/2020,9.99,
701-5842556-9276221,26/04/2020,9.99,
702-0623431-5500250,25/04/2020,9.99,
702-6213584-0717055,25/04/2020,9.99,
701-8152528-6165864,22/04/2020,9.99,
701-3381716-3950637,21/04/2020,9.99,
702-3335279-1462644,20/04/2020,9.99,
702-7183337-7893060,18/04/2020,9.99,
701-7970106-9286634,18/04/2020,32.99,
701-3921969-9980208,16/04/2020,9.99,
701-4218614-1187457,16/04/2020,9.99,
701-1611792-1969823,16/04/2020,9.99,
702-6909812-2965057,16/04/2020,9.99,
702-2996872-1194601,16/04/2020,9.99,
702-6764075-2306623,15/04/2020,0.00,
702-6764075-2306623,15/04/2020,0.00,
702-7496499-2548263,15/04/2020,9.99,
702-0144884-0514644,14/04/2020,9.99,
701-1678122-3635404,13/04/2020,9.99,
702-3712742-5667467,12/04/2020,9.99,
702-2397740-3903407,12/04/2020,9.99,
702-2912593-3545045,12/04/2020,11.75,
702-6514143-7423418,11/04/2020,12.42,
702-5984777-3393048,11/04/2020,9.99,
702-0432558-0938654,11/04/2020,9.99,
702-6652875-6327424,11/04/2020,9.99,
701-7391615-8414649,10/04/2020,9.99,
701-3485948-4869055,10/04/2020,9.99,
702-3477718-0881043,09/04/2020,9.99,
702-6221582-2077810,09/04/2020,9.99,
701-9473498-9317832,09/04/2020,9.99,
702-5688616-0989859,08/04/2020,9.99,
702-9807481-7821044,06/04/2020,9.99,
701-7188693-6139426,05/04/2020,9.99,
